Thuật toán,"Precision
Tiêu cực | Trung lập | Tích cực","Recall
Tiêu cực | Trung lập | Tích cực","Thời gian
huấn luyện"
Naive Bayes,"83,1% | 60,5% | 84,8%","84,2% | 34,7% | 91,5%","0,05 s"
SVM,"87,9% | 67,9% | 90,8%","87,0% | 76,0% | 89,4%","4,81 s"
LSTM,"87,5% | 47,5% | 88,0%","80,4% | 77,3% | 84,2%","10,75 s"
LSTM + PhoW2V,"88,7% | 62,5% | 85,5%","79,8% | 80,0% | 90,0%","7,62 s"
