Thuật toán,"Precision
Tiêu cực | Trung lập | Tích cực","Recall
Tiêu cực | Trung lập | Tích cực","Thời gian
huấn luyện"
Naive Bayes,"83,1% | 60,5% | 84,8%","84,2% | 34,7% | 91,5%","0,05 s"
SVM,"87,9% | 67,9% | 90,8%","87,0% | 76,0% | 89,4%","5,18 s"
LSTM,"87,5% | 47,5% | 88,0%","80,4% | 77,3% | 84,2%","10,92 s"
