Lớp cảm xúc,Ký hiệu,Train,Test,Tổng,Tỉ lệ
Tiêu cực,TieuCuc,1.566,392,1.958,"48,50%"
Trung lập,TrungLap,302,75,377,"9,34%"
Tích cực,TichCuc,1.361,341,1.702,"42,16%"
Tổng cộng,,3.229,808,4.037,"100,00%"
