Bước xử lý,Số dòng,Tỉ lệ
Tổng số dòng thu thập được,4.725,"100,00%"
Loại bỏ: nội dung rỗng sau chuẩn hoá,3,"0,06%"
Loại bỏ: nhãn không hợp lệ,0,"0,00%"
Loại bỏ: cùng nội dung nhưng mâu thuẫn nhãn,0,"0,00%"
Loại bỏ: trùng lặp nội dung,722,"15,28%"
Còn lại đưa vào huấn luyện,4.000,"84,66%"
