Thuật toán,"F-score
Tiêu cực","F-score
Trung lập","F-score
Tích cực","F-score
trung bình",Accuracy
SVM,"87,9%","73,0%","89,9%","83,6%","87,4%"
LSTM,"84,9%","65,9%","86,3%","79,0%","83,4%"
Naive Bayes,"84,5%","45,8%","88,2%","72,8%","83,2%"
"Baseline (luôn đoán ""Tiêu cực"")",–,–,–,"21,8%","48,6%"
