Thuật toán,"Precision
Tiêu cực | Trung lập | Tích cực","Recall
Tiêu cực | Trung lập | Tích cực","Thời gian
huấn luyện"
Naive Bayes,"83,6% | 62,8% | 85,3%","85,3% | 36,0% | 91,4%","0,04 s"
SVM,"87,7% | 74,0% | 89,9%","88,2% | 72,0% | 89,9%","4,43 s"
LSTM,"86,2% | 57,4% | 88,2%","83,5% | 77,3% | 84,5%","9,64 s"
