Mô hình,Lớp,Precision,Recall,F1,Support
Naive Bayes,Tiêu cực,"0,861","0,887","0,874",328
,Trung lập,"0,744","0,500","0,598",64
,Tích cực,"0,853","0,893","0,873",234
SVM,Tiêu cực,"0,893","0,890","0,892",328
,Trung lập,"0,667","0,750","0,706",64
,Tích cực,"0,916","0,889","0,902",234
LSTM,Tiêu cực,"0,841","0,790","0,814",328
,Trung lập,"0,516","0,766","0,616",64
,Tích cực,"0,843","0,803","0,823",234
