Thuật toán,"F-score
Tiêu cực","F-score
Trung lập","F-score
Tích cực","F-score
trung bình",Accuracy
SVM,"87,4%","71,7%","90,1%","83,1%","87,0%"
LSTM + PhoW2V,"84,0%","70,2%","87,7%","80,6%","84,2%"
LSTM,"83,8%","58,9%","86,1%","76,2%","81,7%"
Naive Bayes,"83,7%","44,1%","88,0%","71,9%","82,7%"
"Baseline (luôn đoán ""Tiêu cực"")",–,–,–,"21,8%","48,5%"
