Lớp cảm xúc,Ký hiệu,Train,Test,Tổng,Tỉ lệ
Tiêu cực,TieuCuc,1.309,328,1.637,"52,33%"
Trung lập,TrungLap,258,64,322,"10,29%"
Tích cực,TichCuc,935,234,1.169,"37,37%"
Tổng cộng,,2.502,626,3.128,"100,00%"
